"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_actor_from_header_decodes_valid_bearer_token","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","3","test_list_entries_orders_newest_first","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","9","test_create_request_starts_pending","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","4","test_imported_flag_only_present_when_true","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","802","test_hash_password_roundtrip","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","0","test_rows_to_csv_empty_rows_still_has_header","tests","2026-08-27","passed","2026-08-27","","test_csv_export","",""
"Upgrade to head, downgrade all the way to base, upgrade back to
    head — this exact sequence is what would have caught the ""upgrading an
    already-existing pre-Alembic schema needs a stamp first"" failure mode
    during the ConfigMap -> Postgres migration.","227","test_upgrade_downgrade_upgrade_round_trip","tests","2026-08-27","passed","2026-08-27","","test_alembic_migrations","",""
"","0","test_decode_token_rejects_wrong_type","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","0","test_actor_from_header_none_on_wrong_token_type","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","539","test_authenticate_wrong_password_fails","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","0","test_redact_masks_known_sensitive_keys","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","281","test_retention_cap_at_500","tests","2026-08-27","passed","2026-08-27","","test_token_service","",""
"","7","test_revoke_deletes_namespaced_binding_when_namespaced","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","4","test_list_entries_pagination","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","3","test_ldap_first_login_provisions_local_user","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"SA names are only unique per namespace — the compound key must allow
    this, unlike a naive name-only primary key.","4","test_same_name_different_namespace_coexist","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","1","test_successful_bind_maps_admin_group","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","2","test_change_role_rejected_for_ldap_account","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","5","test_approve_creates_cluster_role_binding_and_updates_status","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"_update_configs must apply targeted changes (e.g. a token rotation)
    without disturbing other registered clusters.","5","test_update_configs_credential_rotation","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"","3","test_remove_cluster","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"","2","test_service_account_bind_failure_denies_without_crashing","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","0","test_decode_token_rejects_wrong_signature","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","2","test_delete_nonexistent_policy_is_a_noop","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","7","test_ldap_role_re_derived_on_every_login","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","1079","test_ensure_default_admin_creates_once","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","272","test_ldap_wrong_password_denied","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","3","test_write_then_read_config_row","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"","20","test_configure_vault_creates_working_singleton","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"","4","test_create_entry","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","2","test_change_password_rejected_for_ldap_account","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","4","test_cannot_approve_own_request","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","1","test_redact_recurses_into_nested_dicts_and_lists","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","1","test_viewer_group_configured_denies_users_outside_it","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","3","test_mark_expired_only_touches_approved_and_past_expiry","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","5","test_approve_reraises_if_policy_tightened_after_request","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","4","test_deny_only_from_pending","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","2","test_cannot_create_local_account_shadowing_ldap_account","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","6","test_list_requests_filters_by_requester","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","1","test_successful_bind_non_admin_group_maps_viewer","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","1","test_refresh_token_roundtrip","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","270","test_authenticate_unknown_user_ldap_disabled","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
"","0","test_as_utc_assumes_utc_for_naive_datetime","tests","2026-08-27","passed","2026-08-27","","test_csv_export","",""
"","0","test_decode_token_rejects_expired","tests","2026-08-27","passed","2026-08-27","","test_core_auth","",""
"","2","test_read_config_row_none_when_never_configured","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"","6","test_revoke_only_from_approved","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","4","test_list_entries_filters_by_actor","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","17","test_apply_config_rejects_incomplete_credentials","tests","2026-08-27","passed","2026-08-27","","test_vault_service","",""
"","3","test_export_entries_filters_by_actor_and_path","tests","2026-08-27","passed","2026-08-27","","test_audit_service","",""
"","2","test_empty_registry","tests","2026-08-27","passed","2026-08-27","","test_registry_mixin","",""
"","3","test_add_cluster","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"","3","test_ineligible_role_blocks_request_creation","tests","2026-08-27","passed","2026-08-27","","test_access_request_service","",""
"","1","test_disabled_returns_none_without_any_ldap_call","tests","2026-08-27","passed","2026-08-27","","test_ldap_service","",""
"","1","test_empty_registry","tests","2026-08-27","passed","2026-08-27","","test_cluster_service","",""
"","0","test_redact_is_case_insensitive","tests","2026-08-27","passed","2026-08-27","","test_audit_middleware","",""
"","1077","test_change_password_and_role_for_local_user","tests","2026-08-27","passed","2026-08-27","","test_auth_service","",""
